DISTRICT,TEHSIL,STATUS,SD CODE,SD NAME,Pincode,SD_latitude,SD_longitude
BASTAR,Jagdalpur,VACANT,100238,SHRI RISHI TRADERS,494001,,
BASTAR,Jagdalpur,VACANT,100238,SHRI RISHI TRADERS,494005,,
BASTAR,Jagdalpur,VACANT,100238,SHRI RISHI TRADERS,494442,,
BASTAR,Lohandiguda,AVAILABLE,100238,SHRI RISHI TRADERS,494010,,
BASTAR,Lohandiguda,AVAILABLE,100238,SHRI RISHI TRADERS,494442,,
BASTAR,Bastar,AVAILABLE,100238,SHRI RISHI TRADERS,494223,,
BASTAR,Bastar,AVAILABLE,100238,SHRI RISHI TRADERS,494222,,
BASTAR,Bastar,AVAILABLE,100238,SHRI RISHI TRADERS,494005,,
BASTAR,Bastar,AVAILABLE,100238,SHRI RISHI TRADERS,494224,,
BASTAR,Bastar,AVAILABLE,100238,SHRI RISHI TRADERS,494010,,
BASTAR,Bakawand,VACANT,100238,SHRI RISHI TRADERS,494222,,
BASTAR,Bakawand,VACANT,100238,SHRI RISHI TRADERS,494001,,
BASTAR,Bakawand,VACANT,100238,SHRI RISHI TRADERS,494005,,
BASTAR,Bakawand,VACANT,100238,SHRI RISHI TRADERS,494224,,
BASTAR,Bakawand,VACANT,100238,SHRI RISHI TRADERS,494221,,
BASTAR,Tokapal,VACANT,100238,SHRI RISHI TRADERS,494223,,
BASTAR,Tokapal,VACANT,100238,SHRI RISHI TRADERS,494005,,
BASTAR,Tokapal,VACANT,100238,SHRI RISHI TRADERS,494010,,
BASTAR,Tokapal,VACANT,100238,SHRI RISHI TRADERS,494442,,
BASTAR,Bastanar,AVAILABLE,100238,SHRI RISHI TRADERS,494010,,
BASTAR,Bastanar,AVAILABLE,100238,SHRI RISHI TRADERS,494442,,
BASTAR,Darbha,VACANT,100238,SHRI RISHI TRADERS,494115,,
BASTAR,Darbha,VACANT,100238,SHRI RISHI TRADERS,494001,,
BASTAR,Darbha,VACANT,100238,SHRI RISHI TRADERS,764044,,
BASTAR,Darbha,VACANT,100238,SHRI RISHI TRADERS,494442,,
DANTEWADA,Dantewada,VACANT,100238,SHRI RISHI TRADERS,494553,,
DANTEWADA,Dantewada,VACANT,100238,SHRI RISHI TRADERS,494556,,
DANTEWADA,Dantewada,VACANT,100238,SHRI RISHI TRADERS,494552,,
DANTEWADA,Dantewada,VACANT,100238,SHRI RISHI TRADERS,494551,,
DANTEWADA,Dantewada,VACANT,100238,SHRI RISHI TRADERS,494449,,
DANTEWADA,Geedam,AVAILABLE,100238,SHRI RISHI TRADERS,494449,,
DANTEWADA,Geedam,AVAILABLE,100238,SHRI RISHI TRADERS,494441,,
DANTEWADA,Barsur,VACANT,100238,SHRI RISHI TRADERS,494441,,
DANTEWADA,Katekalyan,VACANT,100238,SHRI RISHI TRADERS,494552,,
DANTEWADA,Katekalyan,VACANT,100238,SHRI RISHI TRADERS,494115,,
DANTEWADA,Katekalyan,VACANT,100238,SHRI RISHI TRADERS,494449,,
DANTEWADA,Kuakonda,VACANT,100238,SHRI RISHI TRADERS,494553,,
DANTEWADA,Kuakonda,VACANT,100238,SHRI RISHI TRADERS,494556,,
DANTEWADA,Kuakonda,VACANT,100238,SHRI RISHI TRADERS,494552,,
DANTEWADA,Bade Bacheli,VACANT,100238,SHRI RISHI TRADERS,494553,,
DHAMTARI,Dhamtari,VACANT,100238,SHRI RISHI TRADERS,493770,,
DHAMTARI,Dhamtari,VACANT,100238,SHRI RISHI TRADERS,493776,,
DHAMTARI,Dhamtari,VACANT,100238,SHRI RISHI TRADERS,493773,,
DHAMTARI,Dhamtari,VACANT,100238,SHRI RISHI TRADERS,493663,,
DHAMTARI,Kurud,AVAILABLE,100238,SHRI RISHI TRADERS,493770,,
DHAMTARI,Kurud,AVAILABLE,100238,SHRI RISHI TRADERS,493663,,
DHAMTARI,Nagri,AVAILABLE,100238,SHRI RISHI TRADERS,493778,,
DHAMTARI,Nagri,AVAILABLE,100238,SHRI RISHI TRADERS,493773,,
DHAMTARI,Nagri,AVAILABLE,100238,SHRI RISHI TRADERS,764074,,
KONDAGAON,Kondagaon,AVAILABLE,100238,SHRI RISHI TRADERS,494229,,
KONDAGAON,Kondagaon,AVAILABLE,100238,SHRI RISHI TRADERS,494226,,
KONDAGAON,Kondagaon,AVAILABLE,100238,SHRI RISHI TRADERS,494224,,
KONDAGAON,Makdi,AVAILABLE,100238,SHRI RISHI TRADERS,494228,,
KONDAGAON,Makdi,AVAILABLE,100238,SHRI RISHI TRADERS,494229,,
KONDAGAON,Makdi,AVAILABLE,100238,SHRI RISHI TRADERS,494226,,
KONDAGAON,Makdi,AVAILABLE,100238,SHRI RISHI TRADERS,494237,,
KONDAGAON,Pharasgaon,VACANT,100238,SHRI RISHI TRADERS,494228,,
KONDAGAON,Pharasgaon,VACANT,100238,SHRI RISHI TRADERS,494229,,
KONDAGAON,Pharasgaon,VACANT,100238,SHRI RISHI TRADERS,494230,,
KONDAGAON,Keshkal,AVAILABLE,100238,SHRI RISHI TRADERS,494228,,
KONDAGAON,Keshkal,AVAILABLE,100238,SHRI RISHI TRADERS,494347,,
KONDAGAON,Keshkal,AVAILABLE,100238,SHRI RISHI TRADERS,494331,,
KONDAGAON,Keshkal,AVAILABLE,100238,SHRI RISHI TRADERS,494230,,
KONDAGAON,Baderajpur,VACANT,100238,SHRI RISHI TRADERS,494228,,
KONDAGAON,Baderajpur,VACANT,100238,SHRI RISHI TRADERS,494347,,
KONDAGAON,Baderajpur,VACANT,100238,SHRI RISHI TRADERS,494331,,
KONDAGAON,Baderajpur,VACANT,100238,SHRI RISHI TRADERS,764074,,
NARAYANPUR,Narayanpur,AVAILABLE,100238,SHRI RISHI TRADERS,494228,,
NARAYANPUR,Narayanpur,AVAILABLE,100238,SHRI RISHI TRADERS,494226,,
NARAYANPUR,Narayanpur,AVAILABLE,100238,SHRI RISHI TRADERS,494661,,
NARAYANPUR,Orchha,VACANT,100238,SHRI RISHI TRADERS,494777,,
NARAYANPUR,Orchha,VACANT,100238,SHRI RISHI TRADERS,494450,,
NARAYANPUR,Orchha,VACANT,100238,SHRI RISHI TRADERS,494661,,
NORTH BASTAR KANKER,Kanker,AVAILABLE,100238,SHRI RISHI TRADERS,494670,,
NORTH BASTAR KANKER,Kanker,AVAILABLE,100238,SHRI RISHI TRADERS,494334,,
NORTH BASTAR KANKER,Charama,AVAILABLE,100238,SHRI RISHI TRADERS,494336,,
NORTH BASTAR KANKER,Charama,AVAILABLE,100238,SHRI RISHI TRADERS,494337,,
NORTH BASTAR KANKER,Narharpur,AVAILABLE,100238,SHRI RISHI TRADERS,494336,,
NORTH BASTAR KANKER,Narharpur,AVAILABLE,100238,SHRI RISHI TRADERS,494333,,
NORTH BASTAR KANKER,Narharpur,AVAILABLE,100238,SHRI RISHI TRADERS,494334,,
NORTH BASTAR KANKER,Narharpur,AVAILABLE,100238,SHRI RISHI TRADERS,494335,,
NORTH BASTAR KANKER,Bhanupratappur,AVAILABLE,100238,SHRI RISHI TRADERS,494670,,
NORTH BASTAR KANKER,Bhanupratappur,AVAILABLE,100238,SHRI RISHI TRADERS,494635,,
NORTH BASTAR KANKER,Bhanupratappur,AVAILABLE,100238,SHRI RISHI TRADERS,494669,,
NORTH BASTAR KANKER,Durgukondal,VACANT,100238,SHRI RISHI TRADERS,494771,,
NORTH BASTAR KANKER,Durgukondal,VACANT,100238,SHRI RISHI TRADERS,494635,,
NORTH BASTAR KANKER,Durgukondal,VACANT,100238,SHRI RISHI TRADERS,494669,,
NORTH BASTAR KANKER,Koyalibeda,VACANT,100238,SHRI RISHI TRADERS,494665,,
NORTH BASTAR KANKER,Antagarh,AVAILABLE,100238,SHRI RISHI TRADERS,494665,,
NORTH BASTAR KANKER,Antagarh,AVAILABLE,100238,SHRI RISHI TRADERS,494661,,
NORTH BASTAR KANKER,Antagarh,AVAILABLE,100238,SHRI RISHI TRADERS,494230,,
SUKMA,Sukma,VACANT,100238,SHRI RISHI TRADERS,494111,,
SUKMA,Sukma,VACANT,100238,SHRI RISHI TRADERS,494556,,
SUKMA,Sukma,VACANT,100238,SHRI RISHI TRADERS,494122,,
SUKMA,Chindgarh,VACANT,100238,SHRI RISHI TRADERS,494111,,
SUKMA,Chindgarh,VACANT,100238,SHRI RISHI TRADERS,494115,,
SUKMA,Chindgarh,VACANT,100238,SHRI RISHI TRADERS,764045,,
SUKMA,Konta,VACANT,100238,SHRI RISHI TRADERS,764047,,
SUKMA,Konta,VACANT,100238,SHRI RISHI TRADERS,494556,,
SUKMA,Konta,VACANT,100238,SHRI RISHI TRADERS,494447,,
SUKMA,Konta,VACANT,100238,SHRI RISHI TRADERS,507137,,
SUKMA,Konta,VACANT,100238,SHRI RISHI TRADERS,494114,,
SUKMA,Konta,VACANT,100238,SHRI RISHI TRADERS,494122,,
SUKMA,Konta,VACANT,100238,SHRI RISHI TRADERS,533352,,
SUKMA,Konta,VACANT,100238,SHRI RISHI TRADERS,507129,,
SUKMA,Gadirras,VACANT,100238,SHRI RISHI TRADERS,494111,,
